dia;tiempo_actual;archivo;medH;medS;medV;medB;medG;medR;medL;medA;medBB;medY;medCB;medCR;meH;meS;meV;meB;meG;meR;meL;meA;meBB;meY;meCB;meCR;tipo
2023-05-09;21:39:47;Morrones10_1.jpg;47.0;197.0;72.0;13.0;73.0;40.0;70.0;108.0;151.0;56.0;118.0;110.0;55.87;159.0;84.8;47.07;84.48;62.97;83.28;112.57;146.94;73.61;120.3;112.5;No cumple
2023-05-09;21:40:11;Morrones10_2.jpg;47.0;200.0;68.0;11.0;68.0;38.0;65.0;111.0;148.0;52.0;120.0;112.0;52.44;167.31;74.66;39.27;74.4;54.77;72.83;113.47;146.27;64.28;121.17;112.86;No cumple
2023-05-09;21:40:35;Morrones10_3.jpg;47.0;200.0;69.0;13.0;69.0;39.0;66.0;109.0;151.0;54.0;119.0;110.0;57.12;163.64;78.14;41.91;77.55;58.1;76.6;113.46;146.59;67.45;121.24;112.75;No cumple
2023-05-09;21:40:58;Morrones10_4.jpg;47.0;203.0;73.0;12.0;73.0;39.0;70.0;108.0;152.0;56.0;118.0;109.0;54.99;162.68;85.52;46.68;85.24;62.77;83.88;111.98;147.61;73.89;119.95;111.84;No cumple
2023-05-09;21:41:22;Morrones10_5.jpg;45.0;209.0;82.0;11.0;82.0;50.0;80.0;107.0;157.0;65.0;119.0;104.0;48.11;179.75;84.65;33.26;84.77;60.47;82.85;109.89;153.14;71.49;119.98;106.17;No cumple
2023-05-09;21:41:45;Morrones11_2.jpg;43.0;189.0;101.0;19.0;101.0;69.0;99.0;106.0;160.0;82.0;120.0;100.0;52.24;161.56;101.52;46.15;101.1;78.94;100.23;110.56;154.75;88.18;121.39;104.36;No cumple
2023-05-09;21:42:09;Morrones11_3.jpg;43.0;227.0;98.0;9.0;98.0;59.0;95.0;101.0;166.0;76.0;117.0;93.0;44.17;208.47;96.69;22.46;96.73;65.5;93.55;104.73;162.48;78.75;118.41;95.85;No cumple
2023-05-09;21:42:33;Morrones11_4.jpg;45.0;168.0;89.0;23.0;89.0;58.0;87.0;109.0;153.0;72.0;120.0;108.0;52.9;146.12;89.46;46.23;89.25;67.84;88.31;111.92;149.49;77.93;120.75;110.23;No cumple
2023-05-09;21:42:56;Morrones11_5.jpg;46.0;168.0;87.0;22.0;87.0;55.0;85.0;108.0;153.0;70.0;119.0;108.0;52.02;150.9;81.66;37.58;81.72;59.44;80.2;111.57;149.79;70.0;120.42;109.87;No cumple
2023-05-09;21:43:20;Morrones12_1.jpg;43.0;180.0;102.0;22.0;101.0;74.0;101.0;111.0;155.0;85.0;123.0;106.0;51.5;148.33;103.29;53.07;102.35;85.59;103.04;113.7;152.32;91.7;123.65;106.16;No cumple
2023-05-09;21:43:45;Morrones12_2.jpg;41.0;200.0;103.0;17.0;104.0;71.0;102.0;108.0;161.0;84.0;123.0;99.0;41.59;171.83;110.28;42.42;110.17;91.83;109.33;110.94;160.3;96.93;124.36;97.26;No cumple
2023-05-09;21:44:08;Morrones12_3.jpg;37.0;196.0;127.0;17.0;122.0;106.0;125.0;115.0;161.0;107.0;127.0;99.0;37.86;172.11;118.78;43.04;111.37;106.35;113.49;116.91;161.77;102.0;131.01;94.77;No cumple
2023-05-09;21:44:32;Morrones12_4.jpg;40.0;211.0;109.0;12.0;106.0;85.0;108.0;112.0;165.0;90.0;125.0;95.0;39.67;188.86;111.16;34.83;107.48;94.45;107.88;112.96;163.38;95.1;127.36;93.55;No cumple
2023-05-09;21:44:58;Morrones13_1.jpg;42.0;244.0;101.0;5.0;101.0;61.0;97.0;102.0;166.0;77.0;118.0;94.0;43.66;211.38;97.81;30.34;97.86;67.81;94.94;105.38;162.21;80.15;119.09;95.29;No cumple
2023-05-09;21:45:21;Morrones13_2.jpg;42.0;251.0;120.0;6.0;120.0;71.0;116.0;98.0;172.0;92.0;116.0;85.0;41.79;218.7;117.2;39.37;117.2;81.58;113.21;101.67;169.06;95.68;117.91;86.6;No cumple
2023-05-09;21:45:45;Morrones13_3.jpg;42.0;249.0;127.0;9.0;127.0;77.0;122.0;98.0;173.0;98.0;116.0;85.0;41.62;209.61;125.47;48.37;125.47;89.71;121.58;101.58;169.4;103.8;117.91;86.19;No cumple
2023-05-09;21:46:08;Morrones13_4.jpg;42.0;255.0;124.0;5.0;124.0;74.0;120.0;97.0;175.0;95.0;116.0;82.0;41.54;225.96;119.1;34.27;119.09;81.68;114.67;100.42;171.6;96.2;117.6;83.31;No cumple
2023-05-09;21:46:32;Morrones13_5.jpg;45.0;255.0;95.0;3.0;95.0;48.0;91.0;98.0;168.0;70.0;114.0;90.0;44.18;234.52;95.77;18.55;95.77;56.74;91.4;100.87;166.14;74.13;115.56;91.16;No cumple
