dia;tiempo_actual;archivo;medH;medS;medV;medB;medG;medR;medL;medA;medBB;medY;medCB;medCR;meH;meS;meV;meB;meG;meR;meL;meA;meBB;meY;meCB;meCR
2023-05-09;10:46:09;Patron_amarillo1_1.jpg;28.0;255.0;248.0;3.0;227.0;248.0;228.0;117.0;215.0;207.0;156.0;14.0;27.36;247.92;226.37;19.06;209.31;226.3;210.2;117.09;209.25;191.07;153.18;23.2
2023-05-09;10:46:30;Patron_amarillo1_2.jpg;28.0;255.0;252.0;6.0;232.0;252.0;232.0;116.0;217.0;212.0;156.0;11.0;27.35;245.0;231.45;28.51;214.23;231.39;214.7;116.94;209.91;195.81;153.43;22.21
2023-05-09;10:46:52;Patron_amarillo1_3.jpg;28.0;255.0;249.0;2.0;229.0;249.0;230.0;116.0;216.0;209.0;155.0;14.0;27.37;248.43;225.53;15.03;209.16;225.41;209.87;116.85;209.36;190.65;152.85;23.08
2023-05-09;10:47:13;Patron_amarillo1_4.jpg;28.0;255.0;249.0;4.0;229.0;249.0;230.0;116.0;216.0;209.0;156.0;13.0;27.4;247.06;227.21;25.07;210.41;227.13;211.17;116.95;209.23;192.09;153.05;23.28
2023-05-09;10:47:34;Patron_amarillo1_5.jpg;28.0;255.0;251.0;3.0;231.0;251.0;231.0;116.0;216.0;210.0;155.0;13.0;27.24;248.33;226.48;15.8;209.18;226.44;209.99;117.27;209.42;190.94;153.38;22.88
2023-05-09;10:47:56;Patron_amarillo2_1.jpg;29.0;255.0;251.0;14.0;239.0;251.0;237.0;113.0;215.0;215.0;151.0;15.0;28.39;234.32;228.9;55.59;219.01;228.7;217.46;113.96;207.3;199.1;149.16;26.53
2023-05-09;10:48:17;Patron_amarillo2_2.jpg;29.0;255.0;252.0;4.0;241.0;252.0;238.0;112.0;219.0;217.0;153.0;8.0;28.25;246.28;232.68;27.65;221.62;232.56;219.93;113.71;211.76;200.42;150.98;19.2
2023-05-09;10:48:38;Patron_amarillo2_3.jpg;28.0;255.0;253.0;7.0;238.0;252.0;236.0;114.0;217.0;215.0;154.0;11.0;27.75;243.58;233.7;32.36;219.21;233.6;218.58;115.4;210.94;199.61;152.3;21.13
2023-05-09;10:49:00;Patron_amarillo2_4.jpg;27.0;255.0;251.0;4.0;229.0;251.0;230.0;117.0;215.0;209.0;156.0;15.0;27.19;244.73;228.45;31.24;210.08;228.39;211.35;117.74;208.8;192.56;153.61;24.47
2023-05-09;10:49:21;Patron_amarillo2_5.jpg;29.0;255.0;249.0;3.0;235.0;249.0;233.0;113.0;216.0;212.0;152.0;13.0;28.05;247.54;227.57;19.73;215.42;227.46;214.65;114.59;210.48;195.12;151.11;21.46
2023-05-09;10:49:42;Patron_naranja1_1.jpg;25.0;255.0;252.0;6.0;206.0;252.0;215.0;129.0;211.0;196.0;167.0;23.0;23.34;243.79;230.7;25.04;185.63;230.7;196.29;131.38;204.67;178.95;164.92;32.48
2023-05-09;10:50:05;Patron_naranja1_2.jpg;22.0;255.0;245.0;4.0;180.0;245.0;198.0;138.0;205.0;179.0;173.0;34.0;22.15;242.37;227.15;31.45;173.4;227.15;187.77;136.31;201.55;170.92;168.11;37.96
2023-05-09;10:50:26;Patron_naranja1_3.jpg;21.0;255.0;250.0;6.0;179.0;250.0;198.0;141.0;203.0;180.0;175.0;38.0;20.83;237.3;228.12;35.77;166.04;228.12;183.59;140.72;199.07;167.52;171.2;42.84
2023-05-09;10:50:49;Patron_naranja1_4.jpg;23.0;255.0;249.0;3.0;187.0;249.0;203.0;137.0;208.0;184.0;171.0;28.0;22.38;244.95;228.4;27.98;175.96;228.4;189.66;135.44;202.72;172.51;167.85;35.61
2023-05-09;10:51:14;Patron_naranja1_5.jpg;21.0;253.0;248.0;8.0;172.0;248.0;194.0;143.0;202.0;175.0;176.0;42.0;20.27;234.42;224.69;31.96;161.02;224.69;179.52;142.0;197.31;163.81;171.4;46.15
2023-05-09;10:51:40;Patron_naranja2_1.jpg;20.0;255.0;243.0;3.0;166.0;243.0;188.0;146.0;204.0;170.0;178.0;34.0;20.21;248.68;225.22;16.82;156.68;225.2;176.7;143.89;199.92;159.83;174.6;40.71
2023-05-09;10:52:11;Patron_naranja2_2.jpg;21.0;255.0;242.0;3.0;167.0;242.0;189.0;145.0;205.0;171.0;177.0;34.0;20.43;248.97;224.58;16.66;157.78;224.54;177.15;143.02;200.08;160.25;173.83;40.31
2023-05-09;10:52:44;Patron_naranja2_3.jpg;23.0;255.0;248.0;4.0;194.0;248.0;207.0;132.0;208.0;188.0;169.0;30.0;22.02;244.58;223.34;24.27;170.93;223.34;185.0;135.93;201.4;168.09;167.39;38.25
2023-05-09;10:53:14;Patron_naranja2_4.jpg;23.0;255.0;241.0;3.0;187.0;241.0;201.0;134.0;208.0;182.0;169.0;28.0;22.52;248.13;223.08;18.51;172.51;223.08;185.71;134.71;202.18;168.53;166.92;36.01
2023-05-09;10:53:39;Patron_naranja2_5.jpg;23.0;255.0;249.0;5.0;194.0;249.0;207.0;132.0;208.0;188.0;167.0;29.0;22.43;241.76;220.16;23.46;172.93;220.16;185.1;133.65;200.53;168.54;164.82;39.15
2023-05-09;10:54:08;Patron_rojo1_1.jpg;4.0;211.0;210.0;35.0;56.0;210.0;123.0;183.0;172.0;100.0;202.0;94.0;3.7;202.99;191.16;42.56;60.6;191.16;115.31;178.02;167.81;97.68;194.69;96.84
2023-05-09;10:54:34;Patron_rojo1_2.jpg;2.0;205.0;208.0;39.0;48.0;208.0;119.0;187.0;170.0;95.0;206.0;98.0;2.25;197.13;193.15;46.98;54.44;193.15;114.55;181.03;165.4;95.18;197.87;100.79
2023-05-09;10:55:01;Patron_rojo1_3.jpg;2.0;200.0;206.0;42.0;55.0;206.0;120.0;181.0;167.0;99.0;197.0;100.0;2.95;186.0;190.45;56.51;67.27;190.45;118.83;175.25;162.19;103.0;190.35;101.75
2023-05-09;10:55:26;Patron_rojo1_4.jpg;2.0;196.0;215.0;49.0;64.0;215.0;128.0;181.0;167.0;107.0;199.0;98.0;2.94;184.94;194.86;58.02;70.06;194.85;121.31;175.97;162.47;106.12;191.27;100.82
